timestamp,price,MA_50,MA_200,RSI_14,coin
2025-04-27 00:00:00,94644.06637120107,,,,bitcoin
2025-04-28 00:00:00,93809.33781968223,,,,bitcoin
2025-04-29 00:00:00,95030.60645474444,,,,bitcoin
2025-04-30 00:00:00,94256.35946318062,,,,bitcoin
2025-05-01 00:00:00,94235.75331048167,,,,bitcoin
2025-05-02 00:00:00,96426.94522273027,,,,bitcoin
2025-05-03 00:00:00,96855.5681343944,,,,bitcoin
2025-05-04 00:00:00,95922.86842404422,,,,bitcoin
2025-05-05 00:00:00,94326.62048529249,,,,bitcoin
2025-05-06 00:00:00,94758.8237105546,,,,bitcoin
2025-05-07 00:00:00,96854.53198815876,,,,bitcoin
2025-05-08 00:00:00,97026.49376966801,,,,bitcoin
2025-05-09 00:00:00,103076.27555512934,,,,bitcoin
2025-05-10 00:00:00,102962.54045692299,,,74.66486574064757,bitcoin
2025-05-11 00:00:00,104630.8792994166,,,76.94573611625277,bitcoin
2025-05-12 00:00:00,103994.061616746,,,77.77637155673118,bitcoin
2025-05-13 00:00:00,102876.8304286011,,,71.52080368018399,bitcoin
2025-05-14 00:00:00,104184.49039270742,,,76.45694540627674,bitcoin
2025-05-15 00:00:00,103594.42575090709,,,74.20480078163837,bitcoin
2025-05-16 00:00:00,103708.85136423641,,,71.10024834522692,bitcoin
2025-05-17 00:00:00,103556.03493982446,,,69.73082531981872,bitcoin
2025-05-18 00:00:00,103212.36483885496,,,72.23673504968713,bitcoin
2025-05-19 00:00:00,106030.6376831359,,,83.22609686231158,bitcoin
2025-05-20 00:00:00,105629.41580436694,,,80.91449719752544,bitcoin
2025-05-21 00:00:00,106786.71995834043,,,79.83839375775906,bitcoin
2025-05-22 00:00:00,109665.86371625263,,,82.65905380432582,bitcoin
2025-05-23 00:00:00,111560.356938144,,,77.91698675944198,bitcoin
2025-05-24 00:00:00,107216.66856870624,,,60.950052895207406,bitcoin
2025-05-25 00:00:00,107831.36374380375,,,58.710457965913214,bitcoin
2025-05-26 00:00:00,108861.81037744327,,101450.91888625573,62.97019453487357,bitcoin
2025-05-27 00:00:00,109377.71513263129,,101942.04051163675,67.89515962325794,bitcoin
2025-05-28 00:00:00,109068.45694901445,,102450.67781594783,64.22619024044494,bitcoin
2025-05-29 00:00:00,107838.18431100152,,102877.59707782305,61.91691176600987,bitcoin
2025-05-30 00:00:00,105745.41660358038,,103260.56564916972,55.147012193462736,bitcoin
2025-05-31 00:00:00,104010.91956242644,,103586.40452423455,51.06452392238481,bitcoin
2025-06-01 00:00:00,104687.50742934884,,103861.75659778851,53.39917253251089,bitcoin
2025-06-02 00:00:00,105710.00593822816,,104156.90452458295,49.19450512277942,bitcoin
2025-06-03 00:00:00,105884.74263221149,,104488.96699818852,50.64881836658004,bitcoin
2025-06-04 00:00:00,105434.47745144971,,104859.22889706044,46.43569962401626,bitcoin
2025-06-05 00:00:00,104812.9182188067,,105194.36538066884,35.480370464282615,bitcoin
2025-06-06 00:00:00,101650.7387545425,,105354.23893954832,22.441678712388097,bitcoin
2025-06-07 00:00:00,104409.74967959142,,105600.34746987908,41.43954353491738,bitcoin
2025-06-08 00:00:00,105681.4546141758,,105687.1867718473,43.69590592159482,bitcoin
2025-06-09 00:00:00,105692.24740699006,,105778.1770035162,40.1149080964432,bitcoin
2025-06-10 00:00:00,110261.57485948496,,105965.86685551848,52.200247809773934,bitcoin
2025-06-11 00:00:00,110212.73252109604,,106173.15588566348,52.88593468607181,bitcoin
2025-06-12 00:00:00,108679.9760916168,,106366.59407443067,52.09114562024352,bitcoin
2025-06-13 00:00:00,105979.22902375912,,106426.41869546572,50.56379723980746,bitcoin
2025-06-14 00:00:00,106045.56440819203,,106508.12331737523,55.33541749884429,bitcoin
2025-06-15 00:00:00,105482.90611628917,103403.88168584218,106567.25847577698,52.09829917097669,bitcoin
2025-06-16 00:00:00,105554.49383061715,103622.0902350305,106633.87377213672,49.568082005566936,bitcoin
2025-06-17 00:00:00,106951.2720181497,103884.92891899987,106758.50401144657,52.77387413834637,bitcoin
2025-06-18 00:00:00,104683.42479835715,104077.98528587211,106713.59691528727,48.21535950822357,bitcoin
2025-06-19 00:00:00,104722.695052907,104287.31199766663,106683.3728902386,49.7795115389419,bitcoin
2025-06-20 00:00:00,104690.65002458123,104496.40993194861,106613.50389244664,58.770811279470045,bitcoin
2025-06-21 00:00:00,103290.105144757,104633.67313038917,106400.9786067301,46.49480980592954,bitcoin
2025-06-22 00:00:00,101532.5683847329,104727.21313539593,106066.71898828309,37.39482095104719,bitcoin
2025-06-23 00:00:00,100852.58264648831,104825.80741984483,105854.58279087581,35.87063379808539,bitcoin
2025-06-24 00:00:00,105511.62437933135,105049.5074977256,105777.2581453934,36.2048187199628,bitcoin
2025-06-25 00:00:00,105976.06929808448,105273.8524094762,105681.06677608145,37.98558235498202,bitcoin
2025-06-26 00:00:00,107238.53045016268,105481.53237871626,105609.76061999916,45.848677972162776,bitcoin
2025-06-27 00:00:00,106984.01253775663,105680.68275407804,105540.27913962389,53.36835332556844,bitcoin
2025-06-28 00:00:00,107078.91560644074,105760.73555510427,105514.97018280519,53.457498921041015,bitcoin
2025-06-29 00:00:00,107331.58548463577,105848.11645565853,105567.84247884038,56.31654212499763,bitcoin
2025-06-30 00:00:00,108396.61631317894,105923.43119593378,105714.03237053214,59.09358282662424,bitcoin
2025-07-01 00:00:00,107132.79910701896,105986.20594573925,105795.54209312114,50.585793607368515,bitcoin
