eth_price,issuer,net_flow,net_flow_usd,net_tvl,net_tvl_usd,time,tvl,tvl_usd
0,Bitwise,,,-1448.2604526464847,-3395591.457274948,2025-05-10 00:00:00,6.000000000000001e-05,0.14067600000000002
0,Bitwise,,,-1448.2604526464847,-3737656.0935855214,2025-05-11 00:00:00,0.0,0.0
0,Bitwise,,,-1448.2604326464848,-3638566.063168049,2025-05-12 00:00:00,2e-05,0.050247400000000005
0,Bitwise,,,-1448.2604276464847,-3614148.3797960794,2025-05-13 00:00:00,5e-06,0.012477550000000002
0,Bitwise,,,-1448.2604126464846,-3879179.9978777356,2025-05-14 00:00:00,1.5000000000000002e-05,0.04017765000000001
0,Bitwise,,,-1448.2604126464846,-3780524.498568257,2025-05-15 00:00:00,0.0,0.0
0,Bitwise,,,-1448.2604106464846,-3692253.021318574,2025-05-16 00:00:00,2e-06,0.00509888
0,Bitwise,,,-1448.2604086464846,-3679884.872329853,2025-05-17 00:00:00,2e-06,0.0050818
0,Bitwise,,,-1448.2604086464846,-3588803.7752300757,2025-05-18 00:00:00,0.0,0.0
0,Bitwise,,,-1448.2604086464846,-3620013.787036407,2025-05-19 00:00:00,0.0,0.0
0,Bitwise,,,-1448.2604086464846,-3664084.3512715194,2025-05-20 00:00:00,0.0,0.0
0,Bitwise,,,-1448.2604086464846,-3656915.4622487193,2025-05-21 00:00:00,0.0,0.0
0,Bitwise,,,-1448.2604086464846,-3698132.9534787983,2025-05-22 00:00:00,0.0,0.0
0,Bitwise,,,702.5411871335157,1871963.1455884804,2025-05-23 00:00:00,2150.8015957800003,5730939.900051557
0,Bitwise,,,702.5411871335157,1775876.5874242296,2025-05-24 00:00:00,0.0,0.0
0,Bitwise,,,702.5411871335157,1779340.1154767978,2025-05-25 00:00:00,0.0,0.0
0,Bitwise,,,702.5411871335157,1793397.9646313395,2025-05-26 00:00:00,0.0,0.0
0,Bitwise,,,702.5411871335157,1802341.313943549,2025-05-27 00:00:00,0.0,0.0
0,Bitwise,,,702.5411871335157,1871127.1215757916,2025-05-28 00:00:00,0.0,0.0
0,Bitwise,,,702.5411871335157,1885023.3862572927,2025-05-29 00:00:00,0.0,0.0
0,Bitwise,,,2408.481734565331,6345819.504598043,2025-05-30 00:00:00,1705.9405474318153,4494778.035562399
0,Bitwise,,,2408.481734595931,6104176.532246657,2025-05-31 00:00:00,3.060000000000001e-08,7.755417000000002e-05
0,Bitwise,,,2408.481734605931,6101021.421199667,2025-06-01 00:00:00,1e-08,2.53314e-05
0,Bitwise,,,2408.481734605931,6117495.436264372,2025-06-02 00:00:00,0.0,0.0
0,Bitwise,,,2408.481734605931,6287124.804832667,2025-06-03 00:00:00,0.0,0.0
0,Bitwise,,,2408.481734605931,6252852.109749225,2025-06-04 00:00:00,0.0,0.0
0,Bitwise,,,2408.481734605931,6287702.840448974,2025-06-05 00:00:00,0.0,0.0
0,Bitwise,,,2408.481734605931,5827080.708705589,2025-06-06 00:00:00,0.0,0.0
0,Bitwise,,,2408.481734605931,5973781.331160436,2025-06-07 00:00:00,0.0,0.0
0,Bitwise,,,2408.481734605931,6088160.128736872,2025-06-08 00:00:00,0.0,0.0
0,Bitwise,,,2408.486734606634,6052045.46671955,2025-06-09 00:00:00,0.005000000703148544,12.564001766871662
0,Bitwise,,,2408.486734606634,6457104.765745694,2025-06-10 00:00:00,0.0,0.0
0,Bitwise,,,5419.307391506634,15246787.801412595,2025-06-11 00:00:00,3010.8206569000004,8470703.0525356
0,Bitwise,,,7713.262094637529,21407850.413182676,2025-06-12 00:00:00,2293.954703130895,6366779.5203516735
0,Bitwise,,,7713.262094637529,20436287.919742133,2025-06-13 00:00:00,0.0,0.0
0,Bitwise,,,7713.262094637529,19909472.118678387,2025-06-14 00:00:00,0.0,0.0
0,Bitwise,,,7713.262094637529,19559367.152202792,2025-06-15 00:00:00,0.0,0.0
0,Bitwise,,,7713.262094637529,19673677.696445324,2025-06-16 00:00:00,0.0,0.0
0,Bitwise,,,7713.262094637529,19627475.25649844,2025-06-17 00:00:00,0.0,0.0
0,Bitwise,,,9146.93378778763,22989720.443549674,2025-06-18 00:00:00,1433.6716931500998,3603361.760129598
0,Bitwise,,,9146.93378778763,23110094.092196956,2025-06-19 00:00:00,0.0,0.0
0,Bitwise,,,9146.93378778763,23086586.472362343,2025-06-20 00:00:00,0.0,0.0
0,Bitwise,,,9146.93378778763,22039262.553660657,2025-06-21 00:00:00,0.0,0.0
0,Bitwise,,,9146.93378778763,21021757.639107164,2025-06-22 00:00:00,0.0,0.0
0,Bitwise,,,9146.93378778763,20397662.346766412,2025-06-23 00:00:00,0.0,0.0
0,Bitwise,,,9146.93378778763,22117011.490856852,2025-06-24 00:00:00,0.0,0.0
0,Bitwise,,,9146.93378778763,22406329.006564576,2025-06-25 00:00:00,0.0,0.0
0,Bitwise,,,11297.33039020773,27353322.28737876,2025-06-26 00:00:00,2150.3966024201004,5206583.261711595
0,Bitwise,,,12372.52312199783,29936804.39644839,2025-06-27 00:00:00,1075.1927317901,2601557.837693962
0,Bitwise,,,12372.52312199783,30012524.237955015,2025-06-28 00:00:00,0.0,0.0
0,Bitwise,,,12372.52312199783,30175594.09270295,2025-06-29 00:00:00,0.0,0.0
0,Bitwise,,,12355.744121794734,30908511.70787562,2025-06-30 00:00:00,-16.77900020309664,-41973.507958056405
0,Bitwise,,,12355.744121794734,30754559.136118058,2025-07-01 00:00:00,0.0,0.0
0,Bitwise,,,12355.744121794734,29759921.73431358,2025-07-02 00:00:00,0.0,0.0
0,Bitwise,,,15581.229647524835,40069936.659946665,2025-07-03 00:00:00,3225.4855257301,8294916.616809583
0,Bitwise,,,15581.229647524835,40373147.3888875,2025-07-04 00:00:00,0.0,0.0
0,Bitwise,,,15581.229647524835,39104056.2340966,2025-07-05 00:00:00,0.0,0.0
0,Bitwise,,,15581.229647524835,39249896.54359744,2025-07-06 00:00:00,0.0,0.0
0,Bitwise,,,15581.229647524835,40071183.158318475,2025-07-07 00:00:00,0.0,0.0
0,Bitwise,,,15581.229647524835,39625715.80269574,2025-07-08 00:00:00,0.0,0.0
0,Bitwise,,,17444.782393424834,45622641.60222823,2025-07-09 00:00:00,1863.5527459,4873674.954242434
0,Bitwise,,,17444.78239342493,48283494.26069759,2025-07-10 00:00:00,1e-10,2.76779e-07
0,Bitwise,,,18591.57527713503,54815586.46285769,2025-07-11 00:00:00,1146.7928837101003,3381215.6062596967
0,Bitwise,,,18591.57527713503,54947028.90006704,2025-07-12 00:00:00,0.0,0.0
0,Bitwise,,,18591.57527713503,54653282.010688305,2025-07-13 00:00:00,0.0,0.0
0,Bitwise,,,21458.512188185032,63735858.3162253,2025-07-14 00:00:00,2866.9369110500006,8515347.3438316
0,Bitwise,,,25185.52036310503,75871128.23865028,2025-07-15 00:00:00,3727.0081749200003,11227574.85686475
0,Bitwise,,,25185.52036310503,78983051.13471554,2025-07-16 00:00:00,0.0,0.0
0,Bitwise,,,29485.87379485619,99359433.50274076,2025-07-17 00:00:00,4300.3534317511585,14491029.969574831
