name,chains,category,total24h,total7d,total30d,change_1d,change_7d,change_1m
EddyFinance AMM,['ZetaChain'],Dexs,123461,818585.0,1867663.0,-0.42,-20.76,519.22
H2 Finance V2,['Cronos zkEVM'],Dexs,121208,652237.0,2741637.0,27.26,-8.84,181.86
Retro,['Polygon'],Dexs,117987,1099283.0,3838265.0,-7.82,-53.12,30.3
Umbra,['Eclipse'],Dexs,114509,796531.0,4692671.0,0.0,-66.18,97.31
Defi Swap,['Ethereum'],Dexs,113526,705046.0,4064967.0,11.06,-66.18,121.93
Rabbit Swap,['Viction'],Dexs,110243,577494.0,2278051.0,0.0,1.47,153.46
DefiBox,"['Vaulta', 'Wax']",Dexs,104879,2164099.0,5931002.0,-52.23,-54.24,33.53
Lynex V1,['Linea'],Dexs,101690,407116.0,740885.0,48.41,218.05,1227.72
Zyberswap AMM,['Arbitrum'],Dexs,101458,856639.0,3215537.0,5.41,-5.44,89685.84
SwapX V2,['Sonic'],Dexs,99193,520776.0,1090963.0,0.0,134.11,268.32
Metropolis AMM,['Sonic'],Dexs,98649,773633.0,2570549.0,0.0,-49.1,-45.12
Gacha,['Abstract'],Prediction Market,95947,1255346.0,4982309.0,-56.1,-64.14,54.1
waveX,['Soneium'],Derivatives,95726,267132.0,462226.0,0.0,2192.84,5564.26
Curve LlamaLend,"['Ethereum', 'Arbitrum', 'OP Mainnet', 'Fraxtal', 'Sonic']",Lending,77812,88568.0,88568.0,623.43,,
HbarSuite,['Hedera'],Dexs,77176,767676.0,2014743.0,-0.34,80.47,36.14
Trisolaris,['Aurora'],Dexs,77061,580813.0,1762452.0,-22.69,-37.94,129.87
H2 Finance V3,['Cronos zkEVM'],Dexs,72254,383359.0,1395186.0,-0.09,48.93,200.48
CaviarNine Shape Liquidity,['Radix'],Dexs,67609,321761.0,1369410.0,0.0,-23.48,30.81
Velodrome V1,['OP Mainnet'],Dexs,67100,579672.0,2804935.0,-39.27,-79.63,63.19
Blasterswap V3,['Blast'],Dexs,64555,419215.0,775163.0,17.04,-55.07,6179.67
Koi Finance AMM,['ZKsync Era'],Dexs,64488,381400.0,1073585.0,0.0,-11.9,153.78
