name,chains,category,total24h,total7d,total30d,change_1d,change_7d,change_1m
Cleopatra Legacy,['Mantle'],Dexs,561,8511.0,24786.0,-60.96,3.13,27.5
Levinswap,['Gnosis'],Dexs,534,6138.0,55170.0,0.0,-88.38,200.0
ViperSwap,['Harmony'],Dexs,532,3066.0,15100.0,0.0,-76.57,472.04
Butter.xyz,['Mantle'],Dexs,522,4304.0,21239.0,-10.92,-76.65,29.85
KyotoSwap,['BSC'],Dexs,498,3821.0,12603.0,-55.5,-25.89,572.97
Voltage AMM,['Fuse'],Dexs,492,14220.0,34437.0,-75.76,-58.59,645.45
Sushi Trident,"['Polygon', 'OP Mainnet', 'Arbitrum', 'BSC', 'Avalanche']",Dexs,491,1741.0,4836.0,53.44,26.22,
Aequinox,['BSC'],Dexs,422,3830.0,42990.0,-40.48,-54.77,478.08
VinuSwap,['VinuChain'],Dexs,415,2822.0,14530.0,-11.51,2.98,
Zyberswap V3,['Arbitrum'],Dexs,384,9043.0,24511.0,-7.02,-13.71,11.95
Elektrik,['LightLink'],Dexs,323,4625.0,10337.0,-39.17,144.7,6360.0
Solar Dex,['Eclipse'],Dexs,312,3700.0,86624.0,-18.75,-87.35,-93.97
Scribe V4,['Scroll'],Dexs,302,1506.0,11262.0,-34.77,-61.43,-14.2
Horiza,['Arbitrum'],Dexs,302,1446.0,5035.0,14.83,-8.76,
Pearl V1,['Polygon'],Dexs,299,4001.0,23755.0,-42.05,-41.6,-78.27
HumanFi,['World Chain'],DEX Aggregator,298,3428.0,16288.0,-15.1,-32.12,-19.46
BitcoinBridge.app,"['Bitcoin', 'Ethereum']",Bridge,295,1934.0,2765.0,0.0,-34.15,
Physica Finance,['Planq'],Dexs,288,5500.0,16286.0,-9.72,18.52,-51.68
Interest Protocol Stable Swap,['Sui'],Dexs,283,5596.0,45945.0,0.0,528.89,-99.42
Hadouken AMM,['GodwokenV1'],Dexs,280,9115.0,26697.0,-94.18,-85.86,
Tealswap V2,['Oasys'],Dexs,267,1144.0,2794.0,0.0,126.27,
Catalist DEX,['Endurance'],Dexs,243,852.0,4124.0,0.0,-32.5,2600.0
Ninja Blaze,['Injective'],Prediction Market,243,3551.0,11976.0,-65.29,14.62,-60.55
DFX V2,"['Ethereum', 'Polygon']",Dexs,239,866.0,3919.0,0.0,-43.1,
SpaceWhale,['Arbitrum'],Derivatives,221,442.0,442.0,0.0,,
Velocimeter V4,['IOTA EVM'],Dexs,217,1831.0,23955.0,-56.6,-75.62,181.82
BeamSwap Classic,['Moonbeam'],Dexs,216,5085.0,37612.0,-50.12,-91.6,-42.4
VoltSwap V2,['Meter'],Dexs,209,5411.0,32878.0,-9.91,-91.41,-61.3
Meridian Swap,['Telos'],Dexs,208,2574.0,13547.0,-80.6,-51.4,-79.28
Defi Kingdoms,['Harmony'],Dexs,207,5382.0,42088.0,-54.2,-93.55,-97.62
DerpDEX,"['ZKsync Era', 'Base']",Dexs,206,1358.0,3944.0,-27.46,-26.95,-26.16
LineHub V2,['Linea'],Dexs,203,763.0,1388.0,24.54,190.0,4975.0
Flareporium,['Flare'],Dexs,186,2995.0,3822.0,-56.13,154.79,
Embr Finance,['Avalanche'],Dexs,177,1240.0,4528.0,510.34,-62.82,2428.57
Baryon Network,"['BSC', 'Ancient8', 'KUB']",Dexs,176,748.0,3135.0,0.0,51.72,203.45
Sonicxswap,['Sonic'],Dexs,160,8217.0,15560.0,1677.78,-28.57,661.9
MagicSea AMM,['ShimmerEVM'],Dexs,136,2160.0,7554.0,-53.26,-35.24,10.57
VanillaSwap V3,['DeFiChain EVM'],Dexs,133,1136.0,4068.0,,1230.0,-67.4
Yoshi Exchange,"['Fantom', 'BSC', 'Ethereum']",Dexs,85,594.0,5254.0,4.94,-46.2,325.0
GasPump,['TON'],Launchpad,82,869.0,15119.0,-84.64,2633.33,-93.57
MantisSwap,"['Polygon', 'Polygon zkEVM', 'Mode']",Dexs,76,1501.0,54861.0,0.0,-87.96,300.0
YieldFields,['BSC'],Dexs,63,1134.0,2531.0,-31.52,-62.72,110.0
Puppyfun,['BSC'],Launchpad,63,632.0,1090.0,-75.86,,-90.79
Mobius Money,['Celo'],Dexs,54,1146.0,7293.0,-83.73,-71.88,3.85
SoulSwap,['Fantom'],Dexs,52,690.0,1490.0,-8.77,-47.47,940.0
FastJPEG,['Base'],Launchpad,49,342.0,1196.0,,2.08,4800.0
Nuri Legacy,['Scroll'],Dexs,48,1989.0,129432.0,-83.1,-98.6,-99.05
WhaleSwap,"['BSC', 'Fantom']",Dexs,47,285.0,879.0,-11.32,-26.56,123.81
BeamSwap V3,['Moonbeam'],Dexs,38,557.0,8952.0,-50.0,-98.13,153.33
WingSwap,['Fantom'],Dexs,37,258.0,1351.0,0.0,-51.32,-17.78
FusionX V2,['Mantle'],Dexs,35,439.0,1403.0,-52.05,-74.26,400.0
SupSwap V2,['Mode'],Dexs,34,210.0,1011.0,-19.05,-10.53,6.25
Pearl V2,['re.al'],Dexs,32,76.0,505.0,,255.56,
cytoswap,['HeLa'],Dexs,26,6232.0,6987.0,0.0,-73.47,550.0
3xcalibur,['Arbitrum'],Dexs,25,86.0,366.0,127.27,-3.85,400.0
Soy Finance,['Callisto'],Dexs,21,132.0,2180.0,-25.0,-73.42,162.5
Sonic Market AMM,['Sonic'],Dexs,20,190.0,745.0,0.0,-31.03,-79.8
Degen Express,['Sonic'],Launchpad,15,275.0,1792.0,275.0,275.0,275.0
ZyberSwap Stableswap,['Arbitrum'],Dexs,15,161.0,1319.0,,-86.96,275.0
Heraswap,['Onus'],Dexs,13,542.0,1857.0,0.0,116.67,
TON Pump,['TON'],Telegram Bot,13,114.0,716.0,116.67,-76.36,62.5
Metavault AMM V2,"['Scroll', 'Linea']",Dexs,13,74.0,97.0,8.33,62.5,
CobaltX,['Soon Network'],Dexs,10,2198.0,7292.0,0.0,-99.5,
Archly V2,"['Arbitrum Nova', 'Arbitrum', 'Avalanche', 'Base', 'Blast', 'BSC', 'Cronos', 'Ethereum', 'Fantom', 'Filecoin', 'Fraxtal', 'Kava', 'Mantle', 'Metis', 'Mode', 'Neon', 'OP Mainnet', 'Polygon', 'Sonic', 'Telos', 'ZKsync Era', 'Zora']",Dexs,9,267.0,2125.0,-78.05,-95.79,-70.97
ChampagneSwap,['BSC'],Dexs,9,72.0,140.0,-30.77,-47.06,350.0
HiveSwap V2,['MAP Protocol'],Dexs,8,24.0,399.0,0.0,700.0,
Omax Swap,['Omax'],Dexs,7,328.0,11193.0,-97.63,,-97.62
SparkDEX V2,['Flare'],Dexs,6,176.0,2229.0,-82.35,-50.0,-89.83
Keller Finance V3,['Scroll'],Dexs,5,20.0,23.0,66.67,,
MM Stableswap Polygon,['Polygon'],Dexs,5,29.0,259.0,-28.57,-37.5,
KTX spot,"['BSC', 'Mantle', 'Arbitrum']",Dexs,5,11.0,140348.0,0.0,,-99.99
Viridian Exchange,['CORE'],Dexs,4,47.0,247.0,-50.0,-33.33,-33.33
SuperSwap V3,['OP Mainnet'],Dexs,4,9.0,629.0,,100.0,100.0
FeeFree,"['Zora', 'Base', 'Scroll']",Dexs,4,71.0,236.0,,-84.0,
Canary,['Avalanche'],Dexs,3,346.0,1008.0,0.0,-94.74,-98.31
Darkness,['Cronos'],Dexs,2,19.0,291.0,-33.33,-66.67,
Velocimeter V2,['Canto'],Dexs,2,115.0,372.0,0.0,-94.74,
TangleSwap,['ShimmerEVM'],Dexs,1,13.0,69.0,-80.0,-50.0,0.0
SMBSwap V2,['BSC'],Dexs,1,169.0,303.0,-99.39,-50.0,-75.0
SharkSwap,['SX Network'],Dexs,0,0.0,0.0,,,
Gin Finance,['Boba'],Dexs,0,,,,,
Acala Swap,['Acala'],Dexs,0,,,,,
AuraSwap,['Polygon'],Dexs,0,,,,,
Surfswap Classic,['Kava'],Dexs,0,0.0,0.0,,,
DX25,['MultiversX'],Dexs,0,,,,,
Crodex,['Cronos'],Dexs,0,,,,,
SmartDEX,['Polygon'],Dexs,0,,,,,
LeonicornSwap,['BSC'],Dexs,0,,,,,
Chainge Finance,['Fusion'],Dexs,0,,,,,
Kokonut Swap,"['Kaia', 'Polygon zkEVM', 'Base']",Dexs,0,0.0,0.0,,,
BabySwap,['BSC'],Dexs,0,,,,,
Huckleberry AMM,['Moonriver'],Dexs,0,,,,,
PadSwap,"['BSC', 'Moonbeam']",Dexs,0,,,,,
UniFi,"['Avalanche', 'Bittorrent', 'Tron', 'OntologyEVM', 'Harmony', 'BSC', 'Ethereum', 'Icon', 'IoTeX', 'Polygon']",Dexs,0,,,,,
JetSwap,['BSC'],Dexs,0,,,,,
CarbonSwap,['EnergyWeb'],Dexs,0,,,,,
JSwap,['OKTChain'],Dexs,0,,,,,
FXDX,['Base'],Derivatives,0,0.0,0.0,,,
AmpleSwap,['BSC'],Dexs,0,,,,,
Xena Finance,['Base'],Derivatives,0,,,,,
Monocerus,"['Avalanche', 'Manta']",Dexs,0,0.0,0.0,,,
CroSwap,['Cronos'],Dexs,0,,,,,
Arbitrum Exchange V3,['Arbitrum'],Dexs,0,0.0,0.0,,,
RFX Exchange V1,['ZKsync Lite'],Derivatives,0,0.0,1922.0,,,-100.0
Dexter Exchange,['Tezos'],Dexs,0,,,,,
Fathom AMM,['XDC'],Dexs,0,,,,,
ABcDeFX,"['Fantom', 'KCC', 'Kava']",Dexs,0,0.0,0.0,,,
ChimpX AI,['Linea'],Dexs,0,56.0,943.0,-100.0,-100.0,
PlunderSwap V2,['Zilliqa'],Dexs,0,0.0,0.0,,,
Ascent Exchange V1,['Horizen EON'],Dexs,0,0.0,2.0,,,
Nether.Fi,['Base'],Dexs,0,,,,,
Kinetix AMM V2,"['Kava', 'Base']",Dexs,0,0.0,0.0,,,
Tegro,"['Ethereum', 'Polygon', 'Avalanche', 'BSC', 'Arbitrum']",Dexs,0,0.0,0.0,,,
Humble Defi,['Algorand'],Dexs,0,,,,,
VinuNFT,['VinuChain'],NFT Marketplace,0,0.0,0.0,,,
Beamex AMM,['Moonbeam'],Dexs,0,,,,,
9mm V3,"['PulseChain', 'Base', 'Sonic']",Dexs,0,0.0,0.0,,,
Hydrometer Finance,['Base'],Dexs,0,0.0,0.0,,,
Wagmi Memepad,['TON'],Launchpad,0,,,,,
BigPump,['TON'],Launchpad,0,8890.0,75710.0,-100.0,-100.0,-100.0
KYEX,['ZetaChain'],Dexs,0,0.0,0.0,,,
Maximus,['Fantom'],Dexs,0,,,,,
DPEX,['Polygon'],Derivatives,0,0.0,0.0,,,
SuperSwap V2,['OP Mainnet'],Dexs,0,0.0,0.0,,,
Catton,['TON'],CDP,0,,14605.0,,,-100.0
UtyabSwap,['TON'],Dexs,0,,,,,
Tomb Swap,['Fantom'],Dexs,0,0.0,0.0,,,
Zircon Gamma,['Moonriver'],Dexs,0,,,,,
XSwap V2,['XDC'],Dexs,0,180341.0,571710.0,,-100.0,-100.0
Moon Swap,['Conflux'],Dexs,0,,,,,
Cone,['BSC'],Dexs,0,,,,,
AlienFi,['Arbitrum'],Dexs,0,,,,,
Voodoo Trade Base,['Base'],Dexs,0,0.0,0.0,,,
mySwap V1,['Starknet'],Dexs,0,0.0,0.0,,,
V12,['Fuel Ignition'],Dexs,0,,,,,
Chronos V2,['Arbitrum'],Dexs,0,0.0,0.0,,,
EchoDEX V3,['Linea'],Dexs,0,,,,,
Throne V3,['Base'],Dexs,0,0.0,0.0,,,
LuigiSwap,['Scroll'],Dexs,0,0.0,0.0,,,
Zebra V1,['Scroll'],Dexs,0,,,,,
CandySwap,['MEER'],Dexs,0,,,,,
KyberSwap Elastic,"['OP Mainnet', 'Arbitrum', 'Fantom', 'Avalanche', 'BSC', 'Polygon', 'Ethereum', 'Linea', 'Base', 'Scroll']",Dexs,0,,,,,
BXH,"['BSC', 'Ethereum']",Dexs,0,,,,,
Complus Network,"['Avalanche', 'BSC']",Dexs,0,,,,,
KuSwap,['KCC'],Dexs,0,,,,,
Step Exchange,['Step'],Dexs,0,,,,,
Archly V1,['Telos'],Dexs,0,0.0,4.0,,,
OpenBook,['Solana'],Dexs,0,,,,,
El Dorado Exchange,['Arbitrum'],Dexs,0,,,,,
Aldrin,['Solana'],Dexs,0,,,,,
Honeyswap,"['Polygon', 'Gnosis']",Dexs,0,,,,,
Swapr V2,"['Ethereum', 'Arbitrum', 'Gnosis']",Dexs,0,,,,,
Skate AMM,"['Ethereum', 'BSC', 'Base', 'Arbitrum', 'Solana', 'Eclipse', 'Hyperliquid L1', 'Plume Mainnet', 'Mantle']",Dexs,0,14899.0,13380644.0,,-100.0,-100.0
Titano Swych,['BSC'],Dexs,0,,,,,
Swaap Maker V1,['Polygon'],Dexs,0,,,,,
PYEswap,['BSC'],Dexs,0,0.0,0.0,,,
Wojak Finance,['Dogechain'],Dexs,0,,0.0,,,
Capricorn Finance,['Cube'],Dexs,0,,,,,
Cometh,['Polygon'],Dexs,0,,,,,
Ellipsis Finance,['BSC'],Dexs,0,,,,,-100.0
Shell Protocol,['Arbitrum'],Dexs,0,,,,,
WanSwap Dex,['Wanchain'],Dexs,0,357384.0,1789972.0,-100.0,-100.0,-100.0
Voltage V3,['Fuse'],Dexs,0,0.0,0.0,,,
Hermes Protocol,['Metis'],Dexs,0,0.0,0.0,,,
PegaSys V2,['Syscoin'],Dexs,0,,,,,
ALEX,['Stacks'],Dexs,0,,,,,
ExinSwap,['Mixin'],Dexs,0,,,,,
YFX,['Arbitrum'],Derivatives,0,0.0,0.0,,,
Cropper CLMM,['Solana'],Dexs,0,,,,,
Mangrove,"['Blast', 'Arbitrum']",Dexs,0,0.0,1.0,,,-100.0
Keller Finance V2,['Scroll'],Dexs,0,0.0,0.0,,,
savmSwap,['SatoshiVM'],Dexs,0,,,,,
Unicly,['Ethereum'],Dexs,0,284.0,2118.0,-100.0,-100.0,-100.0
Gravity Finance,['Polygon'],Dexs,0,,,,,
Penguin,['Solana'],Dexs,0,,,,,
Equity,['Fantom'],Derivatives,0,0.0,0.0,,,
Moraswap V3,['Neon'],Dexs,0,0.0,0.0,,,
Mondrian Swap,['Abstract'],Dexs,0,2.0,411.0,,,
Mummy Finance,"['Fantom', 'OP Mainnet']",Derivatives,0,0.0,1.0,,,
Blue Planet,['BSC'],Dexs,0,,,,,
DAO Swap,['BSC'],Dexs,0,,,,,
TempleDAO Trade,['Ethereum'],Dexs,0,,,,,
Gravis Finance,"['Polygon', 'BSC']",Dexs,0,,,,,
MetaTdex,['Polygon'],Dexs,0,,,,,
Hydration DEX,['Hydration'],Dexs,0,0.0,0.0,,,
Syrup Finance,['BSC'],Derivatives,0,,,,,
Mantis,"['Solana', 'Ethereum']",Dexs,0,,,,,
Mach,"['Ethereum', 'OP Mainnet', 'Arbitrum', 'Avalanche', 'Polygon', 'Base', 'Celo', 'BSC', 'opBNB', 'Mantle', 'Scroll', 'Mode', 'Blast']",DEX Aggregator,0,0.0,0.0,,,
EmpireDEX,"['BSC', 'Gnosis', 'Polygon', 'Avalanche']",Dexs,0,,,,,
Synthetify,['Solana'],Synthetics,0,,0.0,,,
OnePunchSwap,['BSC'],Dexs,0,,,,,
MistSwap,['smartBCH'],Dexs,0,0.0,0.0,,,
OolongSwap,['Boba'],Dexs,0,,,,,
OPX Finance,['OP Mainnet'],Derivatives,0,0.0,0.0,,,
Danogo,['Cardano'],Dexs,0,0.0,8421.0,,,
Kinetix Derivatives,['Kava'],Derivatives,0,0.0,362555.0,,,-100.0
Reax Swaps,['Mantle'],Dexs,0,,,,,
DeepBook V2,['Sui'],Dexs,0,,,,,
dexSWAP,['Arbitrum'],Dexs,0,0.0,0.0,,,
FCON DEX,['Mantle'],Dexs,0,,,,,
CrescentSwap,['Arbitrum'],Dexs,0,0.0,0.0,,,
Velocore V2,['Linea'],Dexs,0,1.0,1.0,,,
Beralis V3,['Berachain'],Dexs,0,,,,,
Concordex,['Concordium'],Dexs,0,0.0,0.0,,,
Dinosaur Eggs,['BSC'],Dexs,0,,,,,
Ubeswap V2,['Celo'],Dexs,0,24473.0,462039.0,,-100.0,-100.0
Plenty,['Tezos'],Dexs,0,,,,,
Terraswap,['Terra Classic'],Dexs,0,,,,,
NOXA,['Abstract'],Dexs,0,57.0,408.0,,-100.0,-100.0
Penumbra Dex,['Penumbra'],Dexs,0,,656.0,,,-100.0
Kaidex,['Kardia'],Dexs,0,592.0,7100.0,,-100.0,-100.0
Litx,"['BSC', 'PulseChain']",Dexs,0,,,,,
Fenix Concentrated Liquidity,['Blast'],Dexs,0,33.0,1136.0,,-100.0,-100.0
NLX Protocol,['CORE'],Derivatives,0,0.0,0.0,,,
Equation V3,['Arbitrum'],Derivatives,0,,,,,
OpenLeverage,"['BSC', 'KCC', 'Ethereum']",Dexs,0,,0.0,,,
SquadSwap V3,['BSC'],Dexs,0,0.0,0.0,,,
UltronSwap,['Ultron'],Dexs,0,,,,,
Junoswap,['Juno'],Dexs,0,,,,,
Clober V1,"['Ethereum', 'Polygon', 'Arbitrum', 'Polygon zkEVM']",Dexs,0,,,,,
Dystopia,['Polygon'],Dexs,0,,,,,
PonytaSwap,['Rangers'],Dexs,0,,,,,
WEMIX Full Range Deposit,['WEMIX3.0'],Dexs,0,,,,,
Sharpe Magnum,['Ethereum'],Yield,0,0.0,0.0,,,
Yodeswap,['Dogechain'],Dexs,0,,,,,
Sphynx,"['BSC', 'Bitgert']",Dexs,0,,,,,
Fjord V2,"['Ethereum', 'Polygon', 'Arbitrum', 'Avalanche', 'Base', 'Blast', 'BSC']",Launchpad,0,0.0,0.0,,,
Revoswap,['X Layer'],Dexs,0,,,,,
VanSwap,['Vision'],Dexs,0,,,,,
Spartan,['BSC'],Dexs,0,,0.0,,,
HakuSwap,['Avalanche'],Dexs,0,,,,,
Solarflare,['Moonbeam'],Dexs,0,,,,,
ZipSwap,['OP Mainnet'],Dexs,0,,,,,
C3 Exchange,"['Algorand', 'Avalanche', 'Bitcoin', 'Ethereum', 'Arbitrum', 'BSC', 'Solana']",Cross Chain Bridge,0,,0.0,,,
YFX V4,"['Arbitrum', 'Base']",Derivatives,0,0.0,0.0,,,
TanukiX,['Taiko'],Dexs,0,0.0,0.0,,,
Fjord V1,"['Ethereum', 'Polygon', 'Arbitrum']",Launchpad,0,,,,,
Clober V2,"['Base', 'ZKsync Era']",Dexs,0,946.0,947.0,,-100.0,
Fenix Standard Pools,['Blast'],Dexs,0,64078.0,1019455.0,,-100.0,-100.0
Xei Finance,['Sei'],Dexs,0,,,,,
Ape Jupiter,['Solana'],Launchpad,0,0.0,0.0,,,
zkLite Exchange,['ZKsync Lite'],Dexs,0,,,,,
Helix Markets,['ICP'],Dexs,0,,,,,
Polkadex,['Polkadex'],Dexs,0,,,,,
BladeSwap CL,['Blast'],Dexs,0,,,,,
XTrade,['X Layer'],Dexs,0,0.0,0.0,,,
AUX Exchange,['Aptos'],Dexs,0,,,,,
Wavelength DAO,['Velas'],Dexs,0,0.0,0.0,,,
Algofi Swap,['Algorand'],Dexs,0,,,,,
PinkSwap,['BSC'],Dexs,0,,,,,
Volta Markets,['CORE'],Derivatives,0,150.0,204.0,,,
Serum,['Solana'],Dexs,0,,,,,
OKCSwap,['OKTChain'],Dexs,0,,,,,
PheasantSwap,['ENULS'],Dexs,0,,,,,
Lighter V1,['Arbitrum'],Dexs,0,,,,,
1776.MEME,['Ethereum'],Launchpad,0,469.0,100390.0,-100.0,-100.0,-100.0
Arch Swap,['Botanix'],Dexs,0,,0.0,,,
Saddle Finance,"['Arbitrum', 'Ethereum']",Dexs,0,,,,,
KyberSwap Classic,"['OP Mainnet', 'Arbitrum', 'Fantom', 'Avalanche', 'BSC', 'Polygon', 'Ethereum', 'ZKsync Era', 'Linea', 'Scroll']",Dexs,0,,,,,
Copump,"['CORE', 'Sonic', 'Sophon', 'Morph', 'Celo', 'Soneium', 'Scroll', 'Linea', 'Taiko']",Launchpad,0,0.0,0.0,,,
Flamingo Finance,['NEO'],Dexs,0,0.0,0.0,,,
Titan Dex,['TON'],Dexs,0,1207.0,3153.0,,-100.0,-100.0
iZiSwap,"['BSC', 'ZKsync Era', 'Arbitrum', 'Meter', 'Aurora', 'Polygon', 'Mantle', 'OntologyEVM', 'Ultron', 'Linea', 'Scroll', 'Base', 'Manta', 'ZetaChain', 'Mode', 'IoTeX', 'Hemi']",Dexs,0,,4977159.0,,,-100.0
Lexer Markets,['Arbitrum'],Derivatives,0,0.0,0.0,,,
SwapMode V2,['Mode'],Dexs,0,,,,,
WarpGate,['Immutable zkEVM'],Dexs,0,0.0,0.0,,,
Omnidrome,['ZetaChain'],Dexs,0,0.0,0.0,,,
JediSwap V2,['Starknet'],Dexs,0,0.0,0.0,,,
Standard Protocol Mode,['Mode'],Dexs,0,0.0,0.0,,,
Moai V2,['XRPL EVM'],Dexs,0,0.0,587.0,,,
BLEX,['Arbitrum'],Derivatives,0,0.0,0.0,,,
Tetu Swap,['Polygon'],Yield,0,,,,,
ArtexSwap,['Artela'],Dexs,0,,,,,
Fibonacci Dex,['Form Network'],Dexs,0,0.0,782.0,,,
Polycat,['Polygon'],Farm,0,,,,,
QuipuSwap V1,['Tezos'],Dexs,0,,,,,
CherrySwap,['OKTChain'],Dexs,0,0.0,0.0,,,
Tea-Fi,"['Polygon', 'Ethereum']",Yield,0,0.0,0.0,,,
ApeSwap AMM,"['BSC', 'Polygon', 'Ethereum', 'Arbitrum']",Dexs,0,,,,,
HyperJump,['BSC'],Dexs,0,,,,,
InfinityPools,['Base'],Derivatives,0,,,,,-100.0
MITTE,['Near'],NftFi,0,,,,,
Mira Protocol,['Fuel Ignition'],Dexs,0,,,,,
Pearl V1.5,['re.al'],Dexs,0,0.0,255.0,,,
Mango Markets V4 AMM,['Solana'],Dexs,0,,,,,
Morphex V1 AMM,['Fantom'],Dexs,0,,,,,
Blitz AMM,['Blast'],Dexs,0,332.0,1923224.0,,-100.0,-100.0
Predict Fun,['Blast'],Prediction Market,0,0.0,1218.0,,,
VoltSwap,['Meter'],Dexs,0,182.0,719.0,,-100.0,
Quickswap Hydra,"['Polygon zkEVM', 'Manta']",Dexs,0,0.0,0.0,,,
GraFun,"['BSC', 'Ethereum']",Launchpad,0,166.0,2048.0,,-100.0,
GMX V1 AMM,"['Arbitrum', 'Avalanche']",Dexs,0,0.0,2637656.0,,,-100.0
Metavault AMM,['Polygon'],Dexs,0,,,,,
Swappi,['Conflux'],Dexs,0,,,,,
FairySwap V1,['Findora'],Dexs,0,,,,,
Hydradex V2,['Hydra'],Dexs,0,,,,,
Pandora Swap,['BSC'],Dexs,0,,,,,
Meme Cooking,['Near'],Launchpad,0,,1087.0,,,-100.0
SithSwap,['Starknet'],Dexs,0,,,,,
Swapline V1,"['Fantom', 'OP Mainnet', 'Arbitrum', 'ShimmerEVM']",Dexs,0,,,,,
Megaton Finance,['TON'],Dexs,0,,171589.0,,,-100.0
MakiSwap,['Heco'],Dexs,0,,,,,
VeniceSwap,['Findora'],Dexs,0,,,,,
Sobal,"['Base', 'Neon']",Dexs,0,62.0,90.0,-100.0,-100.0,
Orderly AMM,['Near'],Dexs,0,,,,,
Trado Spot,['Flow'],Dexs,0,,0.0,,,
Grizzly Trade AMM,['BSC'],Dexs,0,,,,,
WagyuSwap,['Velas'],Dexs,0,0.0,0.0,,,
Astroport Classic,['Terra Classic'],Dexs,0,,,,,
AutoShark,['BSC'],Dexs,0,,,,,
ErgoDEX,"['Cardano', 'Ergo']",Dexs,0,,,,,
Tethys AMM,['Metis'],Dexs,0,,,,,
NetSwap,['Metis'],Dexs,0,,,,,
ZigZag,['ZKsync Lite'],Dexs,0,,,,,
Level AMM,"['BSC', 'Arbitrum']",Dexs,0,0.0,0.0,,,
Torch Dexs,['TON'],Dexs,0,,,,,
Morphex V2 AMM,"['Fantom', 'BSC']",Dexs,0,,,,,
Vertex AMM,"['Arbitrum', 'Mantle', 'Sei', 'Base', 'Sonic', 'Abstract', 'Avalanche']",Dexs,0,4918.0,28194127.0,,-100.0,-100.0
PixelSwap (PIX),['TON'],Dexs,0,0.0,0.0,,,
Ducata,['Arbitrum'],Yield,0,0.0,0.0,,,
Subzero ZSwap,['Avalanche'],Dexs,0,,,,,
Bisq,['Bitcoin'],Dexs,0,3460442.0,16744202.0,-100.0,-100.0,-100.0
BlueMove DEX,['Aptos'],Dexs,0,0.0,0.0,,,
BeamSwap Stable AMM,['Moonbeam'],Dexs,0,,0.0,,,
Surfswap Stable AMM,['Kava'],Dexs,0,,,,,
Auragi Finance,['Arbitrum'],Dexs,0,,,,,
Aktionariat,"['Ethereum', 'OP Mainnet', 'Polygon']",RWA,0,908.0,393177.0,,-100.0,
Forge,['Evmos'],Dexs,0,,,,,
Koyo Finance,['Boba'],Dexs,0,36.0,183.0,-100.0,-100.0,-100.0
MERLIN DEX,['ZKsync Era'],Dexs,0,,,,,
SMBSwap V3,['BSC'],Dexs,0,,,,,
PancakeSwap AMM V1,['BSC'],Dexs,0,,,,,
MM Finance Arbitrum,['Arbitrum'],Dexs,0,,,,,
Pinnako,['ZKsync Era'],Dexs,0,,,,,
SpaceDex,"['Arbitrum', 'BSC']",Dexs,0,857.0,3477.0,,,
SatoshiCoreSwap,['CORE'],Dexs,0,0.0,0.0,,,
HorizonDEX,"['Linea', 'Base']",Dexs,0,,,,,
EchoDEX V2,['Linea'],Dexs,0,,,,,
Hummus AMM,['Metis'],Dexs,0,23667.0,140924.0,-100.0,-100.0,-100.0
CryptoSwap,['BSC'],Dexs,0,0.0,0.0,,,
seiyan fun,['Sei'],Launchpad,0,,77.0,,,-100.0
AstroSwap,['Velas'],Dexs,0,0.0,0.0,,,
Ascent Exchange V3,['Horizen EON'],Dexs,0,0.0,2.0,,,
Ryze.Fi,['Arbitrum'],Derivatives,0,,,,,
KIM Exchange V1,['Mode'],Dexs,0,,,,,
Primex Finance,"['Polygon', 'Arbitrum', 'Ethereum', 'Base']",Derivatives,0,10472.0,10505.0,,,-100.0
MerlinSwap,['Merlin'],Dexs,0,,0.0,,,
FWX DEX,"['Avalanche', 'Base']",Dexs,0,,,,,
OraiDEX Pool V3,['Oraichain'],Dexs,0,0.0,398482.0,,,-100.0
Spartacus Exchange,['Fantom'],Dexs,0,0.0,3.0,,,-100.0
