Category,Market Cap,24h Volume,24h % Change
Smart Contract Platform,3163914206483.0,154967868506.0,-3.91
Layer 1 (L1),3083554984500.0,146994374790.0,-3.82
Proof of Work (PoW),2244886863685.0,69536337726.0,-2.53
Proof of Stake (PoS),837062765802.0,76185857541.0,-6.96
World Liberty Financial Portfolio,804513746550.0,225360527068.0,-5.04
Made in USA,526106901719.0,54703914189.0,-4.52
Alleged SEC Securities,322145044267.0,16984240218.0,-6.16
Stablecoins,298796895803.0,176019416817.0,0.09
USD Stablecoin,291709501989.0,175518736424.0,0.08
Fiat-backed Stablecoin,286551967336.0,178440286726.0,0.02
