eth_price,issuer,net_flow,net_flow_usd,net_tvl,net_tvl_usd,time,tvl,tvl_usd
0,Fidelity,,,108526.9873136133,320749340.4656378,2025-07-12 00:00:00,3e-10,8.86644e-07
0,Fidelity,,,108526.9873136133,319034614.0660827,2025-07-13 00:00:00,0.0,0.0
0,Fidelity,,,110524.3397160933,328278288.5813432,2025-07-14 00:00:00,1997.35240248,5932516.132322071
0,Fidelity,,,121010.3428834533,364542447.8329742,2025-07-15 00:00:00,10486.00316736,31588979.681640327
0,Fidelity,,,125004.97318985329,392021846.17203945,2025-07-16 00:00:00,3994.6303064,12527360.37238572
0,Fidelity,,,158709.3536915033,534807670.41486937,2025-07-17 00:00:00,33704.380501650005,113574662.10782507
0,Fidelity,,,150970.0482475033,524643563.1673111,2025-07-18 00:00:00,-7739.305444,-26895247.313716598
0,Fidelity,,,150970.0482475033,535240150.85380334,2025-07-19 00:00:00,0.0,0.0
0,Fidelity,,,150970.0482475033,542217986.4838029,2025-07-20 00:00:00,0.0,0.0
0,Fidelity,,,150970.0482475033,566955938.5896388,2025-07-21 00:00:00,0.0,0.0
0,Fidelity,,,182923.14842510328,687984936.615719,2025-07-22 00:00:00,31953.1001776,120177526.95396426
0,Fidelity,,,192409.9524068833,720642615.2471204,2025-07-23 00:00:00,9486.803981780002,35531401.29315973
0,Fidelity,,,193408.5544147633,701440606.5526545,2025-07-24 00:00:00,998.60200788,3621659.8600386325
0,Fidelity,,,249579.3935957633,924402141.175732,2025-07-25 00:00:00,56170.839181,208047800.99215505
0,Fidelity,,,249579.3935957633,929353796.3446718,2025-07-26 00:00:00,0.0,0.0
0,Fidelity,,,249579.3935957633,933284671.7938051,2025-07-27 00:00:00,0.0,0.0
0,Fidelity,,,238595.0600898833,923475022.2260906,2025-07-28 00:00:00,-10984.33350588,-42514533.30450336
0,Fidelity,,,238595.0600898833,905170009.2159948,2025-07-29 00:00:00,0.0,0.0
0,Fidelity,,,232603.7500898833,882198569.0034013,2025-07-30 00:00:00,-5991.31,-22723301.350100003
